question,answer,language
Kiedy moje zamówienie zostanie wysłane?,Zamówienia są wysyłane od 1 do 5 dni roboczych od momentu zaksięgowania wpłaty. Po nadaniu paczki niezwłocznie wysyłamy wiadomość z potwierdzeniem i numerem do śledzenia na podanego maila lub numer telefonu.,pl
"Skoro elektrony krążą po orbitach wokół protonów i neutronów. Księżyc krąży wokół Ziemi, Ziemia wokół Słońca, Słońce wokół Czarnej Dziury w centrum Drogi Mlecznej. Natomiast na Drogę Mleczną wraz z Grupą Lokalną galaktyk oddziałuje grawitacja Supergromady Galaktyk w Pannie, to czy idąc tym tropem nie wydaje się logiczne stwierdzenie, że na Supergromadę Galaktyk w Pannie oddziałuje grawitacyjnie coś jeszcze większego?  Dlaczego przyjmuje się, że ta zależność kończy się na supergromadach i dalej lecą już one same sobie w kosmos już wokół niczego nie krążąc? Czy możliwe jest, że supergomady galaktyk i dalej włókna i ściany galaktyk we wszechświecie, tak samo jak wcześniej wspomniane przeze mnie mniejsze ciała niebieskie krążą wokół czegoś jeszcze większego, czegoś, czego jeszcze teleskopy nie odkryły? Bo idąc za logika tak właśnie powinno być, a jeśli tak nie jest to, dlaczego taka możliwość się odrzuca? [Pan Marcin]","Witam serdecznie i dziękuję za ciekawe pytanie.

Rozpocznę od tego, że inna siła odpowiada za „krążenie” elektronu wokół protonu, czy ogólnie jądra atomowego, a inna odpowiada za krążenie Księżyca wokół Ziemi. W pierwszym przypadku jest to siła elektrostatyczna, w drugim siła grawitacji. Dalej, mówimy, że coś krąży wokół czegoś, ale jest to zbytnie uproszczenie. Obiekty krążą wokół wspólnego środka masy danego układu. Oczywiście w przypadku dużej różnicy mas, środek masy jest wewnątrz masywniejszego ciała. Po trzecie już sam ruch naszej Galaktyki uwarunkowany jest oddziaływaniem grawitacyjnym pozostałych galaktyk w Grupie Lokalnej. Zaś ruch Grupy Lokalnej Galaktyk podlega oddziaływaniu wszystkich galaktyk i gromad galaktyk w supergromadzie Panny. Pomiary ruchu Drogi Mlecznej i całej supergromady w Pannie sugerują, iż poruszają się w stronę tzw. Wielkiego Atraktora, ciągnącego się od gwiazdozbioru Centaura, aż po Pawia. Jest to już wielkoskalowa struktura Wszechświata.

Kolejną rzeczą jest względność ruchu. Zawsze ruch odnosimy do czegoś. Pojawia się pytanie czy nasz obserwowany wszechświat także się porusza. Ale nie mamy punktu odniesienia, względem czego się porusza. I na koniec jak sam Pan napisał może istnieć jeszcze większa część Wszechświata, której jeszcze nie widzimy, dlatego, że światło tych obszarów jeszcze do nas nie dotarło. Ale skoro światło do nas nie dotarło, to także żadne oddziaływanie z tamtych rejonów też do nas nie dotarło. Dlatego nie musimy się „martwić” o tamte części wszechświata.

Jeszcze sprawa natury kosmologicznej. Jeśli Wszechświat, jako całość wiruje, to, wokół czego? Musiałby istnieć wyróżniony punkt i kierunek we Wszechświecie, co przeczy zasadom kosmologicznym, które głoszą, że Wszechświat jest jednorodny i izotropowy. Czyli w każdym kierunku i z każdego miejsca jest taki sam. To z kolei wynika z obserwacji i praw fizyki.

Mam nadzieję, ze trochę rozwiałem Pana wątpliwości.

Pozdrawiam serdecznie
Janusz Nicewicz",pl
Co to jest licencja serwera SQL i czy ja jej potrzebuję?,"Oprogramowanie ODL, jak wszystkie systemy klasy ERP, które udostępniają dane dla wielu użytkowników jednocześnie wymagają użycia specjalnego oprogramowania do zarządzania bazą danych. W przypadku ERP ODL jest to serwer bazodanowy SQL Anywhere, którego producentem jest SAP. Główne funkcje serwera to:

bezpieczne przechowywanie zbiorów danych – np. w trakcie awarii dysku dane nie zostaną utracone, tylko przechowane na serwerze.
umożliwienie wielu użytkownikom jednoczesnego pobierania oraz modyfikowania przechowywanych danych
przetwarzanie danych za pomocą języka SQL, który upraszcza wyszukiwanie,  sortowanie oraz modyfikowanie danych na serwerze.
kontrola dostępu do danych które znajdują się na serwerze - administrator bazy danych może nadawać i odbierać użytkownikom uprawnienia do wykonywania określonych operacji.",pl
4 - Jakie są metody wysyłki?,Paczki wysyłane są za pomocą przesyłki kurierskiej firmy FedEx oraz InPost oraz paczkomatów InPost. Na terenie kraju nie pobieramy za nie żadnych opłat.,pl
Co to jest insta staging?,"Insta Staging to autorska strategia marketingu nieruchomości Klaudii Leszczyńskiej, dzięki której możesz zarabiać na swoim mieszkaniu jeszcze więcej i jeszcze szybciej. Łączy najnowsze trendy Home Stagingu ze Story Tellingiem i marketingiem sensorycznym.",pl
Jaki jest czas dostawy zamówienia?,"Mamy 2 tryby realizacji zamówień.

Standard - Zamówienia realizujemy w średnio 2-3 dni robocze. W zależności od nakładu pracy, stopnia jej skomplikowania, obłożenia oraz rodzaju płatności czas ten może się wydłużyć.
Ekspres - Realizacja ekspresowa zajmuje jeden dzień roboczy. 
UWAGA!
Biuro potwierdza zamówienia tylko od poniedziałku do piątku w godzinach 8:30- 17:00.
Sprawdź terminy wysyłki zamówienia",pl
Jak wygląda proces płatności BONEM Turystycznym?,"Aby dokonać płatności bonem, potrzebny Ci będzie kod obsługi płatności, który musisz podać podczas rezerwacji online lub bezpośrednio w recepcji obiektu. Dodatkowo w momencie realizacji otrzymasz SMS-em specjalny kod autoryzujący płatność z użyciem bonu.",pl
Jak dbać o kwiaty?,"To najlepiej przechowywać je w dobrze oświetlonym pokoju promieni słonecznych. Upewnij się, że możesz zmienić wodę co dwa dni i umożliwia im pomóc, aby zatrzymać dłużej świeże jedzenie kwiat.",pl
Czym wyróżnia się program ERP dla sieci sklepów detalicznych?,"System ERP ODL jest dedykowanym rozwiązaniem dla branży retail, dzięki czemu ułatwia zarządzanie siecią sklepów tj. siecią sprzedaży, sklepami obuwniczymi, butikami, sklepami odzieżowymi czy jubilerskimi. Nasze rozwiązanie umożliwia centralne sterowanie cenami sprzedaży oraz wszelkimi promocjami i wyprzedażami, pomaga zarządzać programem lojalnościowym i sprzedażą kart upominkowych. Wszystko to z zapewnieniem wymagań GIODO dotyczących ochrony danych osobowych. System zarządzania siecią sklepów od ODL posiada interfejs sprzedaży detalicznej spełniający najwyższe standardy prostoty i intuicyjności, aby nowy pracownik szybko osiągnął płynność obsługi klienta. Wszystkie systemy sprzedaży detalicznej powinny być łatwo integrowane z rozwiązaniami popularnych platform sklepów www, odwzorowując w swoim obiegu dokumentów wszystkie etapy obsługi realizacji zamówień internetowych, aby umożliwić ich znaczną automatyzację.",pl
Gdzie mogę odebrać samochód?,"Odbiór samochodu jest możliwy w jednym z 9 punktów Master1.pl (w Klaudynie, Warszawskim Mokotowie lub Ursynowie, Katowicach, Rzeszowie, Gdańsku, Krakowie, Poznaniu lub we Wrocławiu) w godzinach pracy naszych placówek.
Prosimy o ustalenie odbioru samochodu na konkretną godzinę, w porozumieniu z pracownikami placu, na którym znajduje się wybrany samochód. Adresy i dane kontaktowe punktów znajdują się na stronie kontaktowej.
Na Twoje życzenie, nasi pracownicy mogą dostarczyć samochód do dowolnego miejsca na terenie Polski (z wyłączeniem dni ustawowo wolnych od pracy). Jest to usługa dodatkowo płatna. O szczegóły zapytaj naszego doradcę dzwoniąc pod numer 22 100 60 07.",pl
