question,answer,language
¿Qué ocurre con el calendario académico?,"De momento, no se ve afectado ya que la actividad docente continúa. Los cambios que puedan producirse serán comunicados puntualmente a los alumnos.",es
➡️¿Cuánto cuesta poner una persiana automatica en la eliana?,Servicios de instalación y reparación de persianas automaticas y motorizadas en la eliana. Llama y te informamos.,es
"Me informaron que mi paquete fue robado por terceros, ¿qué puedo hacer?","Desafortunadamente al ser una causa imputable a la paquetería, no
procede ningún tipo de indemnización, a excepción de que tu paquete hubiese
viajado asegurado, en ese caso, debes agregar un ticket en el siguiente link: 



<link>



Dicho ticket debe contener, la descripción de la mercancía, embalaje
interno y externo, valor comprobable del bien afectado (ticket de compra o
factura). 



NOTA: Si tu paquete lo enviaste a
través de FedEx, debes ingresar directamente la reclamación con ellos al 01 800
003 3339.",es
¿Qué papeles tengo que llevar en el coche?,"Alguna que otra vez, cuando entrego la documentación del seguro del coche me preguntáis ¿Este papel lo tengo que llevar en el coche?Es la pregunta que más me hacéis una vez firmada y entregada la documentación, pues bien, vamos a ver si podemos aclarar este tema. Los documentos que están obligados a llevar todos los conductores son:- Permiso de conducción.-Permiso de circulación del vehículo o autorización provisional expedida por la Jefatura de Tráfico.-Tarjeta de características técnicas del vehículo.-Informe favorable de la Inspección técnica del Vehículo (ITV) y pegatina. Solo en los casos en que, por antigüedad del vehículo, deba pasar la ITV. Mira la nueva itvSí alquilas un vehículo confirma que tengas los documentos anteriores ya que también te las pueden exigir.Al circular por España, pueden sustituirse los documentos originales por fotocopias compulsadas y una recomendación, siempre es bueno tener, ya sea en el coche o en casa estas fotocopias compulsadas porque en caso de incendio y que esta documentación se destruyera, ahorrarás tiempo y papeleo, al poder demostrar que el coche estaba con toda su documentación al día.Sin embargo, al circular por el extranjero deben llevarse siempre los documentos originales.",es
?Qué es fibra óptica y cómo funciona?,"La fibra óptica es un cable que transmite a través de una delgada hebra de vidrio o silicio fundido que conduce la luz, mejorando no sólo la velocidad, sino la calidad de la conexión.
La conexión de fibra óptica de Movistar utiliza cables de fibra óptica y sistemas ópticos para la distribución de servicios de internet con mayor capacidad de transmisión y una altísima estabilidad.",es
1.5. ¿Cuántos cursos puedo realizar?,"Al ser cursos subvencionados existe un máximo de cursos que podrás realizar para garantizar que todo el mundo tenga el mismo derecho de acceso a la formación. En el caso de la teleformación o formación online ese límite está marcado por un máximo de horas que no podrás superar. Dependiendo de la duración de los cursos que escojas podrás realizar más o menos formaciones. 



En el caso de la formación presencial no podrás realizar dos cursos de manera simultánea si estos superan las 8 horas de formación diarias.",es
¿Qué pasa con la Convocatoria presencial de Abril y Noviembre 2020?,"El inicio de la Convocatoria se ha pospuesto hasta el 1 de junio . Si las condiciones sanitarias por aquel entonces garantizan el comienzo de la nueva edición de los programas presenciales, se dará comienzo al nuevo programa académico. En caso contrario, se informaría a los interesados de las medidas y opciones previstas por IMF para el inicio del nuevo curso. La Convocatoria de noviembre de 2020 no ha sufrido ninguna modificación y todo continúa según lo previsto",es
¿Su trabajo es serio y confiable? ¿Cuáles son mis garantías?,"El trabajo que realizamos en Norisk es absolutamente confiable y sobre todo, comprobable. Tenemos varios años trabajando con los mejores aliados en blindaje en la república mexicana y por ello nos hemos convertido en la empresa líder del mercado de los vehículos blindados.
Además, debes saber que todos y cada uno de nuestros trabajos están regulados por una cotización y por un contrato.
En ambas casos nos aseguramos de detallar o especificar las características propias del blindaje en sus respectivas documentaciones, así como sus garantías, precio y tiempo de entrega.",es
¿Qué es el certificado de eficiencia energética?,Es el documento resultante del proceso de certificación energética de un inmueble. Recoge información sobre elementos constructivos del inmueble y sus instalaciones. El certificado de eficiencia energética otorga al inmueble una calificación energética en función de las emisiones de dióxido de carbono a la atmósfera y el consumo de energía.,es
¿Tengo que tener una formación académica específica?,"No. En invierte en ti hemos diseñado los programas de entrenamiento para que cualquier persona, sea cual sea su nivel de conocimiento, pueda avanzar. De hecho por lo general hemos visto que cuanta menos información traiga la persona en la cabeza más fácil es enseñarle nuestra metodología de trabajo.",es
"¿El PAC es un PBS mejorado, no es mejor acceder por esta razón a una medicina prepagada?","Estamos al nivel de una medicina prepagada ya que la estructura de la prestación de los servicios es de características similares. Además, contamos con un directorio médico para el acceso a las especialidades y los servicios de hospitalización y urgencias se prestan en IPS de alto reconocimiento.",es
¿Cómo vender diamantes en quickgold?,Para que podamos tasar tu brillante necesitamos que concretes una cita previa con tu tienda más cercana. Nuestro experto gemólogo realizará unas comprobaciones detalladas y a la vista que ayudarán a conocer las características del diamante y saber el precio de compra del mismo.,es
¿Como conseguir G Suite GRATIS?,Para conseguir G Suite GRATIS solo tienes que seguir los pasos de este enlace: Enlace,es
"El producto que quiero está agotado, ¿me avisan cuando llegue?","Si quieres ser la primera en saber cuando llega tu producto favorito tienes que inscribirte en el producto.¿Cómo hacerlo?1. Busca en el buscador el producto que estás buscando2. Una vez que lo encuentras, haces click y buscas el botón que dice ""Quiero saber cuando esté disponible""3. Te inscribes con tu mail y ¡listo! Una vez que recibamos el producto para el que te anotaste te vamos a avisar.OJO: Esto no significa que todos los productos vuelven a estar en stock.",es
¿Haces algún tipo de descuento o precio especial?,"Por respeto al resto de parejas que me contratan, mis precios son invariables. No me parece correcto que una pareja que me ha contratado con antelación para asegurarse la fecha pague más que otra que ha esperado a que lance una oferta. Por ese mismo motivo no hago descuentos en ferias de boda, en días como el black friday o para completar agenda cuando tengo alguna fecha próxima disponible. Sin embargo, ofrezco un descuento de 150€ en el reportaje de preboda al contratarme como fotógrafo de vuestra boda.",es
"¿Qué es ""Cantidad de Documentos""?","La oficialización de documentos (certificación, notarización, legalización, apostilla, judiciales) requiere un pago por cada documento, es decir que puede ser una traducción de varios documentos, en este caso no se toma en cuenta sólo el pago de traducción por página, sino que se agrega el valor de oficialización por cada uno de los documentos que conforman un servicio de traducción.",es
"Aparece este mensaje: “Purificador demasiado pequeño o problema de estanqueidad de la sala”, ¿qué significa?","Si aparece este mensaje en Errores, puede que EOLIS Air Manager esté infradimensionado con respecto al tamaño de su habitación. Compruebe que ninguna puerta o ventana estén abiertas al exterior.",es
¿Hay alguna mercancía que sea de prohibida transportación o están restringidas?,"•	Prohibidos o restringidos según regulación venezolana:
Mascaras antigás o tapabocas, Lentes/gafas protectoras (incluidas de natación), chalecos, pecheras, bastones, herramientas de protección personal, rodilleras, coderas, muñequeras, cascos de ningún tipo, pistolas / rifles (esta restricción incluye deportivos, de pintura, de aire comprimido, balines), municiones de cualquier tipo, cuchillos, hondas, metras, canicas, pelotas de golf, mascaras, guantes, prendas de vestir de camuflaje, bates de béisbol y similares. Antiácidos, Inhaladores para tratamientos respiratorios,
 cualquier material para la atención de primeros auxilios.

•	Prohibidos según regulación española:
Ningún tipo de aerosoles, dinero, joyas, documentos de identificación, sustancias inflamables, juguetes que contengan baterías conectadas, ningún tipo de licor o patas de jamón.",es
¿CUALES SON LOS PRECIOS DE LOS SERVICIOS?,Cada producto y servicio dentro de la Casa Karuna puede variar de precio dependiendo de la membresía con la que cuente. Consúltelo directamente al teléfono: +1 (619) 779-6161 o al email: support@lacasakaruna.com,es
¿Podéis migrar mi web?,"¡Claro! Si la migración se produce desde un servidor con cPanel, el servicio es completamente gratuito. Si no, te elaboraremos un presupuesto antes de hacer nada. Si quieres migrar tu web a otro servidor, solicítanos presupuesto.",es
QUÉ POLÍTICA TIENEN DE COMBUSTIBLE?,"Lleno-lleno, tiene que rellenar el tanque al mismo nivel al que estaba cuando alquilaste el vehículo o en caso contrario se cargara la diferencia de gasolina al devolver el vehiculo y un gasto de gestión de 20€.",es
