question,answer,language
Сколько стоит один пролет еврозабора?,Стоимость одного пролета (4плиты х 160) + (1столб х 170) = 810грн,ru
Могут ли на конкурсе украсть мою идею?,Нет – потому что вам не обязательно полностью раскрывать все научно-технические детали вашего проекта. Если что-то в вашем проекте является коммерческой тайной – оно этой тайной и останется.,ru
У меня нет сайта. Могу ли я подключить услугу?,Нет. Для подключения услуги сайт необходим.,ru
Где можно оформить ОСАГО в Кременках без проблем?,Страховку ОСАГО без проблем можно оформить у нас на сайте. Мы являемся официальным партнером более 20-ти страховых компаний. Это гарантирует вам безопасность при оплате полиса и самые выгодные цены на страховой полис в Кременках.,ru
Как оформить свой магазин?,"Заполните основную информацию о вашем магазине в настройках аккаунта, во вкладке ""Настройки магазина"". Адрес магазина вы можете указать во вкладке ""Личная информация"".",ru
4 - Как выбрать подходящего инструктора?,"Кроме фотографий и описания на сайте, вы можете позвонить администратору удобного вам зала и попросить посоветовать инструктора в соответствии с вашими ожиданиями, требованиями и целями. Администратор знает всех инструкторов лично и сможет вам помочь с выбором.",ru
Какие нужны документы?,"Для оформления сделки купли-продажи в Ростове-на-Дону с юр. лицом, Вам потребуются следующие документы:

генеральная доверенность на представителя компании, который будет заниматься сделкой купли-продажи;
свидетельство о регистрации и постановки на учет в налоговой службе;
выписка из ЕГРЮЛ;
документ на разрешение отчуждения имущества фирмы;
устав и реквизиты компании;
документы на авто.

Список документов для физ. лица:

паспорта покупателя и продавца;
ПТС (паспорт транспортного средства);
техпаспорт;
полис ОСАГО;
свидетельство о постановке на учёт.

Наши юристы бесплатно помогут Вам собрать необходимый пакет максимально быстро. В случае, если у Вас нет какого-либо документа, мы также рассмотрим Вашу ситуацию и подберем оптимальное решение.",ru
Зачем при сопровождении нужна действующая лицензия 1С:Комплект поддержки?,"1С:КП (или просто договор КП) пришёл на смену 1С:ИТС (или просто ИТС).



Эту небольшую плату упрощённо можно рассматривать как долю 1С при сопровождении программ официальными партнёрами. Сопровождение и любые работы со стороны официального партнёра 1С без заключения 1С:КП невозможны.1С:Комплект поддержки позволяет получать своевременные обновления конфигурации. Лицензия, полученная на момент приобретения программного продукта, распространяется на версию этого продукта, вышедшую на тот момент. Лицензия на 1С:КП дополняет эту лицензию правом использования свежих версий программного продукта.В 1С:КП входит лицензия на ряд сервисов и право на получение ряда услуг: работа с порталом ЭСЧФ для одного юрлица, некоторый объём консультаций, загрузка курсов валют, доступ к документации в электронном виде, проверка бланков строгой отчётности, доступ к свободному реестру юридических лиц и т. п.Договор 1С:КП является базой для заключения других договоров и получения сервисов вроде доступа к адресному классификатору, классификатору банков, 1С:Номенклатура и т. д.",ru
"Что делать, если прошёл срок возврата и Вы не успели выкупить украшение?","Не беспокойтесь. Мы предоставляем еще целый месяц, чтобы продлить или погасить займ. Он называется «Льготный». В течение этого месяца мы будем ждать Вас и бережно хранить Ваше имущество. Мы позвоним Вам и напомним об окончании льготного периода. И только по окончании льготного месяца мы выставим на реализацию заложенное имущество (ювелирные украшения).",ru
✔️ Что входит в стоимость мебели?,"В стоимость входит непосредственно изготовление мебели, ее доставка и подъем на этаж.",ru
Как у вас с соблюдением сроков?,"На основе нашего опыта стандартные заказы выполняются с соблюдением сроков.

Выполнение заказа автором происходит с контролем промежуточных этапов и при срыве срока одного этапа автор меняется на другого.

В случае со срочным заказом над одной работой могут работать несколько авторов, что ускоряет выполнение заказа.",ru
Почему мой факс стоит дороже чем обычно?,"Гибкое резервирование суммыC марта 2021 в нашей системе запущено гибкое резервирование суммы за отправку факса. За основу расчета принимается цена за страницу для вашего тарифного плана (можно найти здесь {a-link:}). Система анализирует скорость, на которой работает принимающий факс-номер, и если номер «медленный», то добавляется повышающий коэффициент. Помимо скорости работы принимающего факса в расчет принимаются выбранные вами параметры качества передачи (Стандарт или Высокое) и способа конвертации (Текст или Фото) - для Высокого качества и Фото конвертации также применяются повышающие коэффициенты, которые потом суммируются.Возможность частичного или полного возмещенияСистема уведомит вас об использовании повышающих коэффициентов для расчета финальной суммы, которая будет резервироваться с вашего баланса для отправки факса. Сумма именно резервируется с возможностью частичного или полного возмещения после доставки.Система проверяет длительность доставки вашего факсаПосле отправки система проверяет длительность доставки вашего факса, и, если его скорость не превышает 1 минуту телефонного соединения на 1 страницу факса, дополнительно зарезервированные средства возвращаются на ваш баланс. Если время доставки превышает 1 минуту на страницу система рассчитывает финальную стоимость исходя из времени телефонного соединения и доставленных страниц после чего возвращает излишек средств на ваш баланс.Система формирует детальные отчетыНапример, вы отправляете факс из 1-ой страницы на ""медленный"" номер в Туркменистан, в Высоком качестве и с Фото конвертацией. В этом случае система сформирует следующий повышающий коэффициент: 2 (медленный номер) + 2 (Высокое качество) + 2 (Фото конвертация), итого исходная стоимость страницы будет умножена на 6. Т.е. система зарезервирует средства на 6 минут телефонного соединения для передачи каждой страницы факса. Если после завершения передачи система увидит, что доставка заняла, например, 1 минуту 38 секунд, в таком случае на ваш баланс будут возвращены средства в размере исходной стоимости страницы, умноженные на 4, т.е. сумма за полные неизрасходованные минуты. Если же доставка такого факса займет более 6 минут, то система оставит все зарезервированные средства в оплату такого факса. После завершения передачи система формирует отчет, в котором детально представит все необходимые данные.",ru
Где можно проверить качество воды после очистных сооружений?,"Анализ  воды на содержание ионов металлов, анионов, СПАВ, пестицидов, фенолов и других токсичных веществ проводят в нашей независимой  лаборатории. Выбор того или иного метода  анализа сточной воды в каж­дом конкретном случае определяется характером загрязнения и степенью вредности примесей.Мы делаем химический анализ любых типов воды.",ru
Суррогатное материнство - это законно?,"Украинские законы лояльно относятся к проблемам бесплодных пар. Порядок и условия проведения данных программ регулируются целым рядом нормативных актов, в частности, Семейным и Гражданским кодексами Украины, Законом Украины «Основы законодательства Украины об охране здоровья», специальным приказом МОЗ Украины от  09.09.2013 г. № 787, а также рядом других нормативных актов. Данные нормативные акты не запрещают прохождение программ суррогатного материнства в Украине для её граждан, а также для граждан других  государств.",ru
