question,answer,language
Quand aurai-je la liste des hébergements réservés pour mon séjour ?,"Quand nous aurons reçu de votre part la confirmation de votre intérêt pour l’une ou l’autre de nos propositions de voyage ainsi que votre dépôt de 30%, nous lancerons la réservation des hébergements et des différentes prestations incluses dans votre forfait (location de véhicule, activités et excursions, transferts, etc.). Ce processus de réservation peut prendre quelques jours. Dès qu’il est finalisé, nous vous envoyons le détail des réservations confirmées, et notamment le nom et l’emplacement des hébergements réservés.",fr
Que se passe t-il une fois que j’ai postulé à une mission ?,"Lorsque tu cliques sur le bouton “Je Postule”, le recruteur reçoit un mail indiquant qu’un candidat a postulé à son annonce. Un lien s’affiche sur le mail afin que le recruteur puisse découvrir ton profil. - si ton profil correspond, il te contactera par mail ou par téléphone pour en savoir plus - si tu n’es pas retenu, le recruteur peut t'envoyer un mail automatique de refus - il peut également ne pas envoyer de retour faute de tempsCe refus ne concerne que l’offre à laquelle tu as postulé. Nous t'invitons donc à postuler régulièrement à de nouvelles offres ou job étudiant en lien avec tes disponibilités, ta mobilité et ton profil.",fr
La randonnée est elle accessible à tous ?,"Avec sa nature sans limite et ses paysages incroyablement variés, l’Islande est un véritable paradis de la marche à pied, que cela soit au sein d’un groupe accompagné ou en individuel. Cependant, randonner dans ce pays implique un vrai engagement en raison de conditions d’isolement dans lesquelles se déroulent parfois ces marches et surtout de la météo. Il faut être psychologiquement préparé à faire face à des conditions difficiles. Nos itinéraires accompagnés proposent des nuits en refuges ou en camping et sont plus ou moins exigeants. Certains sont cependant conçus pour offrir un profil plus accessible avec des étapes plus courtes. Dans tous les cas, nous vous invitons à parler directement avec l’un de nos conseillers pour évaluer avec lui votre niveau et déterminer la formule de voyage qui vous conviendra le mieux.
Nous pouvons aussi, si vous êtes un groupe constitué, organiser un trek qui corresponde à votre niveau et à vos désirs. De la balade douce au trek le plus exigeant, il suffit de nous demander !
Pour les personnes voyageant sans guide-accompagnateur, nous proposons également plusieurs solutions de voyage incluant la possibilité de randonnées ou de treks, allant de la balade de quelques heures dans le cadre d’une découverte du pays en véhicule de location, au raid de plusieurs jours et sans assistance avec sac-a-dos. Sur demande, nous pouvons notamment vous procurer des descriptifs de balades, des tracés et points GPS, ainsi que des cartes topographiques.",fr
Quelles sont les suites opératoires ?,"Après la mise en place du ballon, un inconfort sera ressenti pendant quelques jours, notamment les douleurs abdominales, les nausées, la diarrhée, les vomissements. Les médicaments seront prescrits afin de les atténuer. L’arrêt de travail est d’environ 3 jours.

Il est recommandé de manger de la nourriture liquide ou des compotes durant les 02 premières semaines. Les boissons gazeuses et le grignotage entre les repas sont interdits durant la période de traitement. Il est aussi recommandé de marcher quotidiennement pendant 15 minutes au moins.

L’efficacité du ballon gastrique réside sur le respect du régime alimentaire. Donc, les rencontres avec le diététicien seront fréquentes.",fr
"J'envisage de faire une boutique avec pignon sur rue, pouvez-vous me fournir, quels sont vos tarifs ?","Oui, nous fournissons déjà en fleurs et résines plusieurs boutiques. Prochainement un site avec accès réservé aux revendeur sera mis en ligne. Pour s'y fournir, il faudra justifier d'une immatriculation au registre du commerce, ou d'un numéro siren. Nos tarifs revendeurs sont avantageux, et nous les communiquons actuellement par contact direct. Ils seront disponibles sur ce site réservé aux professionnels.",fr
Y’a- t-il un assistant virtuel dans l’application MagicaBox ?,"Les assistants virtuels ne sont pas un effet de mode. Ils sont là, d’autres arrivent et c’est une véritable révolution pour les non - voyants !

Les assistants virtuels comme Google Assistant, Alexa d’Amazon, Bixby de Samsung et d’autres sont faciles à utiliser et pratiques.

Ces assistants reconnaissent votre voix, l’analysent, répondent à vos questions mais ils peuvent aussi régler le chauffage, baisser les volets, vous faire écouter de la musique ou éteindre la lumière.

Nous avons développé notre propre système capable de reconnaitre votre voix, de déclencher les fonctionnalités de l’application MagicaBox et nous avons aussi inclus l’assistant de Google.

Une zone d’appui est liée à la reconnaissance des principales requêtes vocales.  Par exemple, appuyez, dites-lui « calcule 789 fois 12 » et l’application MagicaBox vous répond. Demandez-lui « Appelle maman » et elle lance un appel téléphonique. Pour avoir recours à l’assistant de Google, il  vous suffit d’appuyer, de dire « Assistant » et il prend le relais.",fr
Quels sont les horaires des petits-déjeuners à l'hôtel Le Grand Pavois ?,L'hôtel Le Grand Pavois vous propose son petit-déjeuner sous forme de buffet tous les jours de 7 heures à 10 heures du matin.,fr
Quel est l'état des batteries de vos smartphones ?,"Nos batteries font l’objet d’une attention toute particulière. Nous analysons systématiquement leurs cycles de charge et leurs capacités. La majorité ont ainsi une capacité proche de 100% . Afin de vous proposer le prix le plus juste, et dans une démarche écologique, nos batteries ne sont pas changées systématiquement. Nous conservons uniquement les batteries avec une capacité supérieure à 85%, seuil auquel l’expérience de l’utilisateur est presque identique à celle d’une batterie neuve.",fr
En quoi consiste le kit de prélèvement des échantillons ADN ?,"Le kit pour le prélèvement des échantillons ADN contient tout le nécessaire pour votre commande.

Premièrement, vous y trouverez les écouvillons ou brosses pour que vous puissiez prélever l'ADN grâce à un frottis buccal. Certainement, vous recevrez également les instructions pour effectuer ce prélèvement buccal. 

Finalement, le kit contient aussi les formulaires de commande que vous devez remplir (par exemple, pour nous dire comment vous désirez recevoir le résultat) et envoyer par courrier avec les échantillons.

Bien sûr, l'adresse d'envoi est indiquée dans la documentation.

Il est à noter que le kit de prélèvement peut varier pour chaque type de test ADN. Nous vous conseillons donc de vous assurer que vous avez choisi la procédure analytique correcte. Lisez ici la liste des tests ADN disponibles.

Et rappellez-vous que le kit n'est pas nécessaire. Plus d'informations à ce sujet ici.",fr
Quels sont les délais de livraison ?,"Le délai de réception moyen est de 10 jours. Il peut être variable de 15 à 25 jours selon le transporteur choisi par notre fournisseur et selon le pays dans lequel vous résidez. ⏱ Suite aux conséquences de la crise sanitaire provoquée par le Coronavirus COVID-19, de rares commandes peuvent nécessiter un délai de livraison exceptionnel de 6 à 8 semaines. Veuillez nous excuser pour cette gêne temporaire. Nous vous remercions d'avance pour votre patience et votre compréhension. Prenez bien soin de vous et de vos proches !",fr
Comment acheter un billard moins cher ?,"Profitez des bonnes affaires et des offres spéciales des Billards Bréton : consultez la liste de nos billards en promotion, en déstockage ou encore celle de nos billards d’occasion… et achetez malin ! Si vous souhaitez trouver un billard pas cher, vous êtes au bon endroit ! Tous nos billards, même d’occasion, sont rénovés pour être sûrs de ne vous proposer que la meilleure qualité aux prix les plus bas.
Conseils pour un billard pas cher",fr
D'où vient le nom du Parc aux Orchidées ?,"Le Parc a été créé il y a plus de 40 ans par Jean-Claude Rancé, un pointe-noirien reconnu entre autre pour sa profonde connaissance des orchidées sauvages de Guadeloupe. Il cherchait à protéger ces orchidées en voix de disparition mais aussi à montrer la richesse de la flore Guadeloupéenne.",fr
Comment créer un compte client ?,"Il n'est pas nécessaire de créer un compte sur votre boutique Avec Style.Si toutefois vous désirez des informations supplémentaires sur votre commande, n'hésitez pas à contacter le service client à l'adresse suivante :contact@avec-style.comNous répondons dans les 24 heures ouvrables.",fr
