question,answer,language
Was ist das Besondere an Santander GO?,"Um einen Kredit zu beantragen, müssen Sie nicht mehr in eine Bankfiliale gehen. Der gesamte Prozess läuft online über unsere speziell dafür entwickelte, sichere Plattform ab. So gelangen Sie in wenigen Schritten zum Kreditantrag und werden von unseren Expertinnen und Experten angerufen, um Ihren Finanzierungswunsch gemeinsam zu besprechen. Gleichzeitig sind Sie mit unseren Beraterinnen und Beratern via Screen Sharing verbunden. Dabei sehen unsere Mitarbeiter auf Ihrem Bildschirm dieselben Inhalte wie Sie und können Sie bei Ihrem Kreditantrag optimal beraten und unterstützen.",de
Was kostet ein Schiebetor?,"Je nach Größe, Ausführung und Ausstattung einer Schiebetoranlage kann man mit einem Preis ab 2500,00 Euro rechnen.",de
Gibt es die Möglichkeit ein Buffet zu machen?,"Sehr gerne können wie entweder ein Buffet für Sie vorbereiten, oder ein Menü ganz nach Ihren Wünschen erstellen. Natürlich alles in 100% Bioqualität.",de
Meine Website muss nur überarbeitet werden. Machen Sie das auch?,"Prinzipiell können wir das gerne für Sie übernehmen. Jedoch hat ein sogenannter „Relaunch“ Ihrer alten Website nach 3–4 Jahren viele Vorteile. Denn nicht nur die Technik und die Design-Trends ändern sich, sondern auch die Rechtslage, insbesondere in Bezug auf die Europäische-Datenschutzgrundverordnung (EU-DSGVO).
Sollten Sie in Bezug auf die DSGVO einen Nachholbedarf haben, empfehlen wir Ihnen, sich bei uns zu melden. Dadurch können Sie eine mögliche Abmahnung durch Ihre Wettbewerber vermeiden.",de
Was ist ein Knorpelschaden?,"Unter dem Begriff Knorpelschaden (lateinisch Chondropathie) werden verschiedene Erkrankungen des Knorpelgewebes zusammengefasst. Knorpelschäden können entweder durch Verschleißerscheinungen des Knorpels im Alter (etwa eine Arthrose), durch entzündliche Prozesse im Rahmen rheumatischer Erkrankungen oder auch nach Unfällen und Verletzungen auftreten.",de
Warum wird mein privater Becher an der CafeBar nicht befüllt?,"An den Kaffeemaschinen mit Selbstbedienung in den Cafeterien kann man seinen mitgebrachten Becher mit Kaffeespezialitäten oder Teewasser befüllen.

In unserem Hygienekonzept für die CafeBars ist geregelt, dass nur durch uns gereinigtes Geschirr im Zubereitungsbereich verwendet werden darf. Daher dürfen die Teams an den CafeBars mitgebrachte Gefäße nicht befüllen. Allerdings bereiten wir Ihr Heißgetränk gerne in einem Mehrweggefäß zu und geben Ihnen dieses zum Umfüllen in Ihren privaten Becher.",de
Wie erhalte ich Credits um unsere Flagge zu befreien?,"Credits bekommst dein Team durch captures, deploys, flagge verteidigen, flagge halten und flaggen entführen - auch entführte flaggen werfen für das Team welches die Flagge hält tgl. credits aus.",de
Benötige ich für das DRSA Bronze einen EH-Kurs?,"Für das DRSA Bronze ist keine EH-Ausbildung Voraussetzung.

Laut Ausbildungs- und Prüfungsvorschrift sind zwar Kenntnisse in Erster-Hilfe erforderlich, welche dann auch in der theoretischen Prüfung abgefragt werden.

Es ist jedoch auch hier empfehlenswert diese vorab nochmals aufzufrischen, sollten sie schon längere Zeit zurück liegen.",de
Wie montiere ich mein Geländer?,"Zusammen mit Ihrer Bestellung erhalten Sie ein speziell an Ihr Produkt angepasstes Anleitungsheft, das Tipps für die Montage enthält. Außerdem stellen wir Ihnen Videos zur Verfügung, in denen die Befestigungsschritte genau erklärt werden. Das Anleitungsheft enthält außerdem eine Maßvorlage und eine Zeichnung, die die Platzierung der Stangen, angepasst an die von Ihnen bei der Bestellung angegebenen Maße, verdeutlicht. Das Anleitungsheft dient gleichzeitig als Lieferschein und enthält alle Details zu Ihrer Bestellung.
Ein Montagevideo kann folgendermaßen aussehen:
 
[embed]<link>",de
Kann gegen den Festsetzungsbescheid Widerspruch eingelegt werden?,Ja.,de
