question,answer,language
O cupim come tijolo ou concreto?,"Com a aplicação correta da isca a Gel as formigas operárias, que saem do formigueiro a procura de alimentos, comem a isca e esse produto fica no seu tubo digestivo, sendo regurgitado dentro do formigueiro, onde a rainha se alimenta e é contaminada com o produto.",pt
Qual o Valor do Frete?,Para calcular o valor do frete acesse nosso site e ao realizar a compra o valor será calculado para sua localidade.,pt
Qual é a diferença entre Danos Morais e Danos Materiais?,"Danos morais são aqueles que atingem o lado moral de um indivíduo, a sua intimidade, sua honra, sua dignidade. Já os Danos Materiais afetam o patrimônio da pessoa, ou seja, sua casa, carro etc.

Uma pessoa pode sofrer somente Dano Moral, ou apenas Dano Material, e também pode ser vítima de ambos ao mesmo tempo.",pt
Como alterar o email cadastrado no sistema?,"❗ ATENÇÃO: não há intimação eletrônica por e-mail, pois as mensagens enviadas ao seu e-mail têm caráter informativo.
💡 Para alterar o e-mail:

No menu lateral clique em Usuários, ALTERAÇÃO DE DADOS PESSOAIS;
Em forma de contato escolha E-MAIL;
Digite o e-mail e clique em INCLUIR;
Existem três perguntas no contato. A resposta SIM torna o e-mail apto para o apontado;
É possível incluir mais de um e-mail, mas para o esquecimento de senha só pode haver um e-mail apontado como SIM;
Por fim, clique em SALVAR.",pt
O resultado da CLaCS e da escleroterapia convencional são os mesmos?,"Não existem comprovação científica comparando as duas técnicas. Os pacientes que fazem CLaCS relatam um menor número de sessões para eliminar os vasinhos. Pode-se dizer que pelas técnicas utilizadas, a CLaCS atinge resultados ainda mais satisfatórios.",pt
Meu telefone fica sem sinal em algumas regiões. O app funciona mesmo assim?,"Sim, mas com limitações. Caso se trate apenas de uma região sem sinal não há problema, pois ele armazenará as ocorrências que lançar.",pt
💸 Como recebo o dinheiro de minhas apostas?,"Depois de fechada a sua aposta, caso ela seja vencedora, o dinheiro será adicionado à conta de apostador automaticamente. Verifique seu histórico de apostas e veja os resultados de cada uma delas. Se, por algum motivo o dinheiro de uma aposta vencedora não for creditado automaticamente, entre em contato com o serviço de atendimento ao cliente para resolver seu problema.",pt
Qual a diferença entre depurador e exaustor?,"A grande diferença entre depurador e exaustor é a forma que o equipamento irá trabalhar a fim de deixar a cozinha livre de cheiros.
No modo exaustor, o equipamento terá que ser conectado com a área externa da residencia, através de um duto flexível.
Já no modo depurador o equipamento irá reciclar o ar, através de seus sistemas de filtragem.
A maioria das coifas podem ser instaladas como exaustor ou depurador, por isso fale com nossa equipe e saiba qual o modelo ideal para você.",pt
O app tem navegação?,"Sim, basta visualizar o mapa e tocar no  destino. O app abrirá seu app de naveçação padrão.",pt
O que é Vale Alimentação?,"É um valor fornecido todo mês para compra de produtos alimentícios em supermercados, mercados de bairro, açougues, mercearias. O Vale Alimentação oferece para cada funcionário a liberdade de escolher produtos que realmente necessitam e preferem. É um substituto natural da cesta básica (com diversas vantagens).

Faça orçamento gratuito de Vale Alimentação para sua empresa.",pt
O que é TR?,TR significa Taxa Referencial e é o índice que corrige o saldo devedor das contas de poupança e das contas vinculadas do FGTS. Ela é utilizada para amortização do saldo devedor do financiamento.,pt
Os produtos vendidos no site possuem certificado de orgânico?,"Não, nem todos os produtos que usamos tem o certificado de Orgânico. Mas quando nossos produtos não são certificados, eles são cultivados sem o uso de agrotóxicos. Infelizmente, o acesso ao selo é complexo, burocrático e caro. Daí reforçamos a importância da proximidade com quem produz: estando próximos, conseguimos certificar a qualidade e as boas práticas ambientais e sociais sem depender dos selos, que são sem dúvida importantes, porém podem representar um freio ao desenvolvimento de da cadeia de produtores de comida de qualidade.",pt
Qualquer um que comprar a Mentoria terá uma consultoria individual com a Amara?,"Sim todos terão 4 consultorias individuais online para acompanhamento da criação de uma apresentação completa, incluindo, escolha de música, figurino, cabelo e maquiagem.",pt
Como funciona o plano Vivo Controle?,"Nos planos Vivo Controle você recebe uma fatura com valor fixo todo mês. Ou seja, se você contratou o plano de R$ 49,99 e não possui nenhum serviço adicional, o valor total da sua fatura será de R$49,99 todo mês. Assim, você consegue ter o controle total dos seus gastos. Você também não precisa efetuar uma recarga para continuar falando ilimitado de Vivo para Vivo e fixos de qualquer operadora e ainda navega na internet 4G com qualidade Vivo. Os benefícios do plano são mensais, não cumulativos para o mês seguinte, e renovados a cada ciclo de faturamento.",pt
Como foi criado o logotipo da ONU?,"Em 1945, o Departamento de Estado dos EUA solicitou ajuda ao Escritório de Serviços Estratégicos (o antigo serviço de inteligência dos Estados Unidos durante a Segunda Guerra Mundial - OSS) para a criação dos gráficos para a Conferência das Nações Unidas sobre Organização Internacional em San Francisco, onde a Carta da ONU foi redigida. 



Oliver Lincoln Lundquist, um talentoso arquiteto e designer industrial, trabalhava na época para o OSS,  e liderou a equipe que projetou o emblema oficial das Nações Unidas .



 A equipe de Lundquist decidiu criar um distintivo de lapela para os delegados que pudesse servir como sua forma oficial de identificação. Foi inicialmente projetado por outro oficial da OSS, Donal McLaughlin, que trabalhou para Lundquist como diretor de gráficos da conferência.



Donal McLaughlin descreve o processo de criação do logotipo em seu livro ""Origin of the Emblem an other recollections of the 1945 U.N Conference"" , publicado em 1995, apresentando os diversos esboços elaborados pela equipe.







Dentre os esboços, a representação gráfica da Terra foi incluída, onde  inicialmente utilizaram a projeção ortográfica.







Como a projeção ortográfica não contemplava todas as nações participantes, optou-se então pela projeção globular de Nicolosi.







  Donal McLaughlin relata no livro que devido o uso excessivo desta projeção nos diversos logotipos criados naquela época, (cujo termo utilizado por ele foi ""hackneyed"") optaram então pela projeção azimutal equidistante com centro no polo norte, cujo esboço contempla todas as nações participantes.







O resultado final foi apresentado e aprovado.







O logotipo foi revisado várias vezes. O projeto original não contemplava países além do paralelo 30° Sul, no logotipo atual estão incluídos todos os países até o paralelo 60° Sul.



No projeto original, os Estados Unidos foram colocados no centro inferior. O atual logotipo foi rotacionado em 90°, e agora os EUA estão à esquerda, fazendo com que nenhum pais ocupe a posição central.







Fontes:



<link>



<link>



<link>




<link>",pt
O meu Score vai subir no automático?,"Não, o seu score não vai subir no automático. Para o seu score subir precisa seguir os 4 passos  que revelamos dentro do nosso Guia Como aumentar o Score em 30 dias.",pt
COMO ACESSO AS UNIDADES?,"Para acessar as academias credenciadas, gere o código de acesso (token), recebido por SMS ou gerado pelo site ou app. Esse código, que se renova todos os dias, deve ser apresentado na recepção do local em que escolher treinar.Se você decidir treinar na Smartfit, é possível cadastrar a digital e o CPF nos totens de autoatendimento para acessar a unidade como convidado. Dessa forma, o token será validado automaticamente.Para studios não é necessário mostrar o token pois, ele é válidado automaticamente 3h antes quando o agendamento da aula é realizado. O aluno só precisa agendar a aula e comparecer na unidade fazendo seu check-in direto na recepção.",pt
Como irei receber os dados para acesso dos servidores?,"Após o pagamento, os dados serão enviados para email cadastrado pelo cliente em nosso site.",pt
